step,d_cutoff,num_replaced,solve_time,binary_clauses,ternary_clauses,ratio,status
8,11,50,92.443,2224032,1183128,1.8797898452238473,success
9,12,49,50.917,2184432,1263928,1.7282883202207722,success
10,13,48,290.456,2145632,1343128,1.597488846930449,success
11,14,47,135.088,2107632,1420728,1.4834873388854164,success
12,15,46,367.339,2070432,1496728,1.3833054502888968,success
13,16,45,18.801,2034032,1571128,1.294631627722248,success
14,17,44,36.123,1998432,1643928,1.21564448078018,success
15,18,43,99.042,1963632,1715128,1.1448894776366545,success
16,19,42,51.834,1929632,1784728,1.0811910834592162,success
17,20,41,90.222,1896432,1852728,1.0235889995725223,success
18,21,40,118.028,1864032,1919128,0.9712911280539912,success
19,22,39,284.61,1832432,1983928,0.9236383578436315,success
20,23,38,85.532,1801632,2047128,0.8800778456452161,success
21,24,37,302.702,1771632,2108728,0.8401424934842237,success
22,25,36,95.487,1742432,2168728,0.8034350089084478,success
23,26,35,118.051,1714032,2227128,0.7696153970494736,success
24,27,34,346.147,1686432,2283928,0.7383910526076128,success
25,28,33,43.243,1659632,2339128,0.7095088426114347,success
26,29,32,55.342,1633632,2392728,0.6827487286478029,success
27,30,31,101.374,1608432,2444728,0.6579185905344072,success
28,31,30,38.97,1584032,2495128,0.6348499956715647,success
